"# of Use","# Usado"
"%1$s incl tax.","%1$s incl. imposto."
"%s - %s","%s - %s"
"%s Item(s)","&s Item(ns)"
"Please specify the product option(s)","Por favor especifique as opções do produto"
"Please specify the product required option(s)","Por favor especifique as opções obrigatórias do produto"
"Please specify the product required option(s).","Por favor especifique a(s) opção(ões) obrigatória(s) do produto"
"Please specify the product(s) quantity","Por favor especifique as quantidades dos produtos"
"Please specify the product's option(s).","Por favor, especifique a opção do(s) produto(s)."
"Please specify the product's required option(s).","Por favor especifique a(s) opção(ões) obrigatória(s) dos produtos"
"Please specify the quantity of product(s).","Por favor, especifique a quantidade de produtos"
"Please specify time required option(s)","Por favor defina as opções obrigatórias para a hora"
"Please specify time required option(s).","Por favor especifique opções de tempo obrigatória"
"Please wait...","Por favor aguarde..."
"Please, use four-digit year format","Por favor utilize o formato de ano com quatro dígitos"
"PM","PM"
"Position","Posição"
"Position In Layered Navigation","Posição na Navegação por Atributos"
"Position of attribute in layered navigation block","Posição do atributo no bloco da navegação por atributos"
"Prev","Ant."
"Previous","Anterior"
"Price","Preço"
"Price is not available","Preço não disponível"
"Price Navigation Step Calculation","Cálculo do Preço de Navegação por Passos"
"Price Type","Tipo Preço"
"Price values for options should be specified in system base currency.","Os valores de preços para as opções devem ser especificados em sistema moeda base"
"Price:","Preço:"
"Price: %s","Preço: %s"
"Print This Page","Imprimir esta página"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a coleção, abortado. Erro: %s"
"Product","Produto"
"Product %s successfully added to compare list","Produto %s adicionado à lista de comparação"
"Product %s successfully removed from compare list","Produto %s corretamente removido da lista de comparações"
"Product Alerts","Alertas de Produto"
"Product API","API Produto"
"Product Attribute","Atributo do Produto"
"Product attribute sets API","API do grupo de atributos do produto"
"Product attribute was successfully deleted","O atributo do produto foi corretamente removido"
"Product attribute was successfully saved","O atributo do produto foi corretamente alterado"
"Product Attributes","Atributos do produto"
"Product attributes API","API de atributos do produto"
"Product Categories","Categorias de produto"
"Product collection expected","Coleção de produtos esperada"
"Product collection expected.","Espera coleção de produto"
"Product deleted","Produto removido"
"Product Description","Descrição do Produto"
"Product duplicated","Produto duplicado"
"Product Extra Info","Informação Extra do produto"
"Product Flat Data","Dados Fixos Produto"
"Product has required options","O produto tem opções obrigatórias"
"Product ID","ID do Produto"
"Product Image Placeholders","Sinalizadores de Imagens de Produtos"
"Product Image Watermarks","Sinalizadores de Marcadas de água de Produtos"
"Product Images","Imagens do Produto"
"Product Images API","API Imagens do Produto"
"Product In Websites","Produto nos Sites"
"Product Info Column","Coluna de Informação do Produto"
"Product Information","Informação do Produto"
"Product is not loaded","O produto não está carregado"
"Product Link Block Template","Produto Ligação Bloco Modelo"
"Product Link Inline Template","Produto Ligação Modelo Local"
"Product links API (related, cross sells, up sells)","API de links do produto (Relacionados, Vendas Superiores, Vendas Cruzadas )"
"Product listing sort by","Ordenar a visualização de produtos por"
"Product Name","Nome Produto"
"Product Prices","Preços dos produtos"
"Product Reviews","Análises ao produto"
"Product saving error.","Erro guardar produto"
"Product Tags","Etiquetas de Produtos"
"Product Tier Price API","API Descontos em quantidade do produto"
"Product Type","Tipo de Produto"
"Product types API","API dos tipos de produtos"
"Product URL Suffix","Sufixo da URL do produto"
"Product View Extra Hint","Produto Visualizar Sugestão Extra"
"Product was successfully created.","Produto criado corretamente"
"Product was successfully saved.","Produto guardado corretamente"
"Product with this combination of attributes already associated to configurable.","Já existe um produto com esta combinação de atributos associado a um configurável."
"Products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products Information","Informação dos Produtos"
"Products only","Apenas produtos"
"Products per page on Grid allowed values","Produtos por página na Grelha de valores permitidos"
"Products per Page on Grid default value","Produtos por página por omissão na Vista em grelha"
"Products per Page on List allowed values","Produtos por página na Lista de valores permitidos"
"Products per Page on List default value","Produtos por página por omissão em Lista"
"Products Reviews","Análises de produtos"
"Products Sitemap","Mapa do Sítio dos Produtos"
"Properties","Propriedades"
"px.","px."
"Qty","Qt"
"Qty for Item's Status to become Out of Stock","Qt. para o Estado fica Sem disponibilidade"
"Qty for Item's Status to become Out of Stock","Qt. para o Estado do Item se "Indisponível""
"Qty Increments","Múltiplos Qt."
"Qty Uses Decimals","Qt. utiliza decimais"
"Qty:","Qtd:"
"Quantity","Quantidade"
"Quick Create","Criação Rápida"
"Quick Overview","Visão rápida"
"Quick simple product creation","Criação rápida de um produto simples"
"Records for "","Resultados para ""
"Redirect","Redirecionar"
"Redirect URL","URL de redirecionamento"
"Regular Price:","Preço Normal:"
"Related Products","Produtos relacionados"
"Remove","Remove"
"Remove Product","Remover produto"
"Remove product assignment","Remover associação do produto"
"Remove Product From Websites","Remover Produto de Sites"
"Remove product image","Remover imagem do produto"
"Remove product link","Remover link do produto"
"Remove This Item","Remover Este Item"
"Reorganize EAV category structure to flat structure","Reorganizar a estrutura de categorias de EAV para fixa"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura de produtos de EAV para fixa"
"Required","Obrigatório"
"Reset","Repor Valores"
"Results","Resultados"
"Retrieve attribute data","Obter dados do atributo"
"Retrieve attribute list","Obter lista de atributos"
"Retrieve attribute options","Obter opções de atributos"
"Retrieve categories tree","Obter árvore das categorias"
"Retrieve category attributes","Obter atributos da categoria"
"Retrieve category data","Obter dados da categoria"
"Retrieve hierarchical tree","Obter listagem hierárquica"
"Retrieve linked products","Obter produtos ligados"
"Retrieve list of assigned products","Obter lista de produtos associados"
"Retrieve one level of categories by website/store view/parent category","Obter um nível de categorias por sítio/vista de loja/categoria superior"
"Retrieve product","Obter produto"
"Retrieve product attribute sets","Obter grupo de atributos do produto"
"Retrieve product image","Obter imagem do produto"
"Retrieve product image list","Obter lista de imagens do produto"
"Retrieve product image types","Obter lista de tipos de imagem"
"Retrieve product link type attributes","Obter atributos do tipo de link do produto"
"Retrieve product link types","Obter tipos de link do produto"
"Retrieve product tier prices","Obter descontos em quantidade do produto"
"Retrieve product types","Obter tipos de produto"
"Retrieve products data","Obter dados de produtos"
"Retrieve products list by filters","Obter tipos de produtos através de filtros"
"Review successfully deleted","Análise corretamente removida"
"Review was saved successfully","A análises foi guardada corretamente"
"Review was successfully saved","Análise corretamente guardada"
"Reviews","Análises"
"Roll Over for preview","Passe o rato por cima para ver"
"Root","Principal"
"Save","Guardar"
"Save And Continue Edit","Guardar e Continuar Edição"
"Save Attribute","Guardar Atributo"
"Save Attribute Set","Guardar Grupo de Atributos"
"Save Category","Guardar Categoria"
"Save Search","Guardar pesquisa "
"Saved ","Guardado"
"Saved %d record(s)","%d registo(s) gravado(s)"
"Scope","Âmbito"
"Scope must not be changed, because the attribute is used in configurable products.","O âmbito atual não pode ser alterado porque o atributo é utilizado em produtos conflagráveis."
"Search","Pesquisa"
"Search Engine Optimizations","Optimizações Motores de Busca"
"Search Information","Informação de Pesquisa "
"Search Query","Texto a pesquisar"
"Search Term was successfully saved","Termo de Pesquisa foi corretamente guardado"
"Search Term with such search query already exist.","Termo de pesquisa com essa consulta já existe"
"Search Term with such search query already exists.","Já existe um termo de pesquisa com a consulta especificada."
"Search was successfully deleted","A pesquisa foi corretamente removida"
"Searchable","Pesquisável"
"See price before order confirmation.","Mostrar preço antes de confirmação encomenda."
"select all","Selecionar tudo"
"Select Category...","Selecione a Categoria..."
"Select Configurable Attributes ","Selecione os atributos configuráveis"
"Select Product...","Selecione o Produto..."
"Select type of option","Selecione o tipo de opção"
"Select type options required values rows.","Selecione o tipo de opções obrigatórios nos valores da linha."
"Selected configuration is not available.","A configuração selecionada não está disponível."
"Selected Product Types","Tipos de Produtos Selecionados"
"Send Count","Enviar Contagem"
"Set Ascending Direction","Definir direção ascendente"
"Set Descending Direction","Definir direção descendente"
"Set Name","Definir Nome"
"Set Root Category For Store","Definir Categoria Principal para a Loja"
"Set root category for this store in the <a href="%s">configuration</a>","Defina a categoria mãe para esta loja na <a href="%s">configuração</a>"
"Set special price","Preço especial"
"Set/Get current store view","Definir/Obter vista atual de loja"
"Settings","Definições"
"Shop by","Comprar por"
"Shopping Options","Opções de envio de encomenda"
"Short Description","Pequena Descrição"
"Show","Mostrar"
"Show Details","Mostrar Detalhes"
"Show Tags","Mostrar Etiquetas"
"Simple Product","Produto Simples"
"Site Map","Mapa do Sítio"
"Sitemap","Mapa do Site"
"Skip import row, is not valid value "%s" for field "%s"","Ignorar importação da Linha, "%s" não é um valor válido para o campo "%s""
"Skip import row, required field "%s" for new customer not defined","Ignorar importação da Linha, campo obrigatório "%s" para novo cliente não definido"
"Skip import row, required field "%s" for new products not defined","Ignorar importação da Linha, campo obrigatório "%s" para novos produtos não definido"
"Skip import row, required field "%s" for the new customer is not defined.","A ignorar linha a importar, campo obrigatório "%s" para novo cliente não está definido."
"Skip import row, required field "%s" not defined","Ignorar importação da Linha, campo obrigatório "%s" não definido"
"Skip import row, store "%s" field not exists","Ignorar importação da Linha, campo da Loja "%s" não existe"
"Skip import row, the value "%s" is invalid for field "%s"","A ignorar linha a importar, o valor "%s" não é válido para o campo "%s"."
"Skipping import row, required field "%s" for new products is not defined.","A ignorar linha a importar, campo obrigatório "%s" para novos produtos não está definido."
"Skipping import row, required field "%s" is not defined.","A ignorar linha a importar, campo obrigatório "%s" não definido."
"Skipping import row, store "%s" field does not exist.","A ignorar linha a importar, loja "%s" não existe."
"Skipping import row, the value "%s" is not valid for the "%s" field.","A ignorar linha a importar,  o valor "%s" não é válido para o campo "%s"."
"SKU","SKU"
"SKU length should be %s characters maximum.","O comprimento do SKU deve ser no máximo de %s"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Alguns dos produtos processados não tem SKU definido. Por favor preencha-o antes de continuar."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Alguns dos produtos abaixo não tem todas as opções obrigatórias definidas. Por favor edite-os e configure as opções necessárias."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Alguns dos produtos abaixo não tem todas as opções obrigatórios. Por favor remova-os e depois adicione-os com todas as opções obrigatórias."
"Sort by","Ordenar por"
"Sort Order","Ordenar Encomenda"
"Source Model","Código do Modelo"
"Special Expires On: %s","Oferta Especial Termina Em: %s"
"Special Price:","Preço especial:"
"Special Price: %s","Preço Especial: %s"
"Starting at:","Iniciando em:"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Apenas blocos estáticos"
"Status","Estado"
"Stock Availability","Disponibilidade inventário"
"Store","Loja"
"Store View","Vista da Loja"
"Stretch","Ajustar"
"Subscribe to Feed","Subscrever o feed"
"Subscribe to RSS Feed","Subscrever para o feed RSS"
"Super product attributes configuration","Configuração de atributos de Super Produto"
"Synonym For","Sinónimo Para"
"System","Sistema"
"System Properties","Propriedades do sistema"
"Tag Name","Nome da etiqueta"
"Tax","Imposto"
"Tax Class","Classe de imposto"
"Template","Template"
"Text","Texto"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"The attribute model is not defined","O modelo do atributo não está definido."
"The attribute set has been saved.","O conjunto de atributos foi guardado."
"The base directory to upload file is not specified.","O diretório base para carregamento de ficheiros não está definido."
"The base directory to upload image file is not specified.","O diretório base para o carregamento da imagem não está definido."
"The category has been deleted.","A categoria foi eliminada."
"The category has been saved.","A categoria foi gravada."
"The comparison list was cleared.","A lista de comparativos foi limpa."
"The email template is not specified by administrator.","O template do e-mail não está especificado pelo administrador."
"The file '%s' for '%s' has an invalid extension","O ficheiro '%s' para '%s' tem uma extensão inválida."
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","O ficheiro '%s' que carregou é maior que os %s MB permitidos pelo servidor."
"The file you uploaded is larger than %s Megabytes allowed by server","O ficheiro que carregou é maior que os %s MB permitidos pelo servidor."
"The filters must be an array.","Os filtros tem de ser um array."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","O módulo de catálogo fixo tem um limite de %2$d atributos ordenáveis ou pesquisáveis. Por favor reduza o número de atributos ordenáveis ou pesquisáveis para poder utilizar este módulo."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","O Catálogo Fixo tem um limite de %2$d atributos pesquisáveis e/ou ordenáveis. Atualmente tem %1$d. Por favor reduza o número para poder utilizar este módulo."
"The image contents is not valid base64 data.","O conteúdo da imagem não são válidos para base64"
"The image is not specified.","A imagem não está especificada."
"The model collection resource name is not defined.","O nome do recurso da coleção não está definido."
"The product %s has been added to comparison list.","O produto %s foi adicionado à lista de comparação."
"The product %s has been removed from comparison list.","O produto %s foi removido da lista de comparação."
"The product attribute has been deleted.","O atributo do produto foi removido."
"The product attribute has been saved.","O atributo do produto foi guardado."
"The product has been created.","O produto foi criado."
"The product has been deleted.","O produto foi removido."
"The product has been duplicated.","O produto foi duplicado."
"The product has been saved.","O produto foi guardado."
"The product has required options","O produtos tem opções obrigatórias"
"The review has been deleted","A análise foi removida"
"The review has been saved.","A análise foi guardada"
"The review was removed by another user or does not exist.","A análise foi removida por outro utilizador ou não existe."
"The search was deleted.","A pesquisa foi removida."
"The text is too long","O texto é demasiado comprido"
"There are no %s available.","Não está disponível %s."
"There are no customers for this alert","Não existem clientes para este alerta"
"There are no customers for this alert.","Não existem clientes para este alerta."
"There are no products matching the selection.","Não existem produtos que correspondam à seleção"
"There was an error while adding products to websites","Ocorreu um erro enquanto adicionava produtos ao site"
"There was an error while cleared compare list","Ocorreu um erro ao limpar a lista de comparações entre produtos"
"There was an error while removing products from websites","Ocorreu um erro enquanto removia produtos do site"
"There was an error while request processing.","Ocorreu um erro ao processar o pedido."
"There was an error while updating product(s) attributes","Ocorreu um erro ao atualizar os atributos dos produtos"
"There was an error while updating product(s) status","Ocorreu um erro ao atualizar o estados do(s) produto(s)"
"This attribute cannot be deleted.","Este atributo não pode ser removido."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute cannot be updated.","Este atributo não pode ser atualizado."
"This attribute is used in configurable products.","Este atributo é utilizado em produtos configuráveis."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é utilizado em produtos configuráveis. Não o pode remover deste grupo de atributos."
"This attribute no longer exists","Este atributo já não existe"
"This attribute set no longer exists.","O grupo de atributos já não existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos utilizador em produtos configuráveis. Por favor mova esses atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos de sistema. Por favor mova os atributos de sistema para outro grupo e tente novamente."
"This is a required option","Esta opção é obrigatória"
"This product no longer exists.","Este produto já não está disponível."
"This search no longer exists","Esta pesquisa já não existe"
"This search no longer exists.","Esta pesquisa já não está disponível."
"Tier Pricing","Preços de quantidade"
"Tile","Cobertura"
"Time format","Formato da Hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified","Para re-indexar os produtos ativos, a loja ou produto tem que ser especificado."
"To reindex the enabled product(s), the store or product must be specified.","Para re-indexar os produtos ativos, a loja ou produto tem que ser especificado."
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço deste produto, por favor adicione-o ao carrinho. Pode sempre remove-lo depois."
"Top/Left","Superior/Esquerdo"
"Top/Right","Superior/Direito"
"Total incl. Tax: %1$s","Total Inc. Imposto: %1$s"
"Total of %d record(s) have been deleted.","Um total de %d registos foram removidos"
"Total of %d record(s) have been updated.","Um total de %d registos foram atualizados"
"Total of %d record(s) were successfully deleted","Um total de %d registo(s) foram corretamente removidos"
"Total of %d record(s) were successfully updated","Um total de %d registo(s) foram corretamente atualizados"
"Total Qty Base Items","Qt. total itens base"
"Type","Tipo"
"Unable to complete request. Please try again later.","Incapaz de terminar o pedido. Por favor tente novamente mais tarde."
"Unable to complete this request.","Não foi possível terminar o pedido."
"Unable to find a search term to delete","Não foi possível encontrar o termo de pesquisa para remover"
"Unable to find a search term to delete.","Não foi possível encontrar o termo de pesquisa a remover."
"Unable to find an attribute to delete","Incapaz de encontrar o atributo a remover"
"Unable to find an attribute to delete.","Não foi possível encontrar o atributo a remover."
"Unable to get product id.","Incapaz de encontrar a id do produto."
"Unable to get the product ID.","Não foi possível obter o ID do produto."
"Unassigned Attributes","Atributos por atribuir"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (não é partilhado com outros produtos)"
"Unknown attribute: %s","Atributo desconhecido: %s"
"Unknown attribute: %s.","Atributo desconhecido: %s"
"Unknown EAV indexer type "%s".","Tipo de indexante EAV desconhecido "%s"."
"unselect all","Desmarcar todos"
"Unsupported product type "%s".","Tipo de produto não suportado "%s"."
"Up-sells","Vendas Superiores"
"Update","Atualizar"
"Update assigned product","Atualizar produto associado"
"Update Attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","Atualizar link do produto"
"Update product tier prices","Atualizar descontos por quantidade do produto"
"Update Tier Price","Atualizar Preços de desconto por quantidade"
"Upload new product image ","Carregar nova imagem do produto"
"Url","Url"
"Url rewrie save problem.","Erro ao guardar a rescrita de URL"
"Url Rewrite Management","Gestão de rescritas de URL"
"Use Canonical Link Meta Tag For Categories","Utilizar na forma Canónica as Ligações de Meta Tags para Categorias"
"Use Canonical Link Meta Tag For Products","Utilizar na forma Canónica as Ligações de Meta Tags para Produtos"
"Use categories path for product URLs","Usar o caminho das categorias para a Url dos produtos"
"Use config","Utilizar Configuração"
"Use Config Settings","Utilizar definições de configuração"
"Use default","Utilizar por omissão"
"Use Default Value","Utilizar Valor por Omissão"
"Use Flat Catalog Category","Usar catálogo fixo de categorias"
"Use Flat Catalog Product","Usar catálogo fixo de produtos"
"Use for Promo Rule Conditions","Utilizar para Promoções de Regras de Preços"
"Use four-digit year format.","Utilize o ano num formato de 4 dígitos"
"Use in advanced search","Utilizar na pesquisa avançada"
"Use In Layered Navigation","Usar na Navegação por Atributos"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar na Navegação por atributos<br>(Apenas pode ser usado com a entrada de catálogo do tipo 'Menu de Seleção')"
"Use in quick search","Usar na pesquisa rápida"
"Use In Search Results Layered Navigation","Utilizar a Navegação por Atributos nos Resultados de Pesquisa"
"Use JavaScript Calendar","Utilizar calendário em JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizar URL's estáticas para conteúdo média no WYSIWYG para o Catálogo"
"Use To Create Configurable Product","Utilize Para Criar Produto Configurável"
"Use Tree Like Category Sitemap","Usar mapa do site em forma árvore"
"Used for sorting in product listing","Utilizado para definir ordem de listagem nos produtos"
"Used in product listing","Utilizado na listagem de produtos"
"Value for "%s" is invalid.","O valor para "%s" é inválido."
"Value for "%s" is invalid: %s","O valor para "%s" é inválido: %s"
"Values Required","Valores Necessários"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Produto Virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas páginas do catálogo e na Interface de Utilizador"
"Visible on Product View Page on Front-end","Visível na página de exibição do produto no front-end"
"Watermark","Marca de água"
"Watermark Default Size","Tamanho por omissão da marca de água"
"Watermark Opacity, Percent","Percentagem de Opacidade na Marca de Água"
"Watermark Position","Posição da marca de água"
"We Also Recommend","Também Recomendamos"
"Web Site Item Must be checked","Tem que assinalar o item do Site"
"Web Site Store Must be checked","Tem que assinalar a Loja do Site"
"Website","Site"
"Websites","Sites"
"What's this?","O que é isto?"
"Whether to show "All" option in the "Show X Per Page" dropdown.","Se se deve mostrar opção "Todos" no menu de seleção "Mostrar X por Página""
"Wrong BuyRequest instance in options group","Instância 'BuyRequest' incorreta nas opções de grupo"
"Wrong BuyRequest instance in options group.","Instância errada de BuyRequest nas opções do grupo."
"Wrong configuration item instance in options group.","As opções do grupo contém uma instância de configuração errada"
"Wrong configuration item option instance in options group.","Uma opção do grupo contém uma instância de configuração errada"
"Wrong option instance type in options group","Tipo de instância de opção incorreta nas opções de grupo"
"Wrong option instance type in options group.","Tipo de instância de opção errada nas opções grupo"
"Wrong option type to get group instance.","Tipo de opção incorreta para obter o grupo de instância."
"Wrong product instance type in options group","Instância incorreta do tipo de produto nas opções de grupo"
"Wrong product instance type in options group.","Tipo de instância de produto errada nas opções grupo"
"Wrong product type filter specified","Tipo de filtro de produto especificado inválido."
"Wrong product type to extract configurable options.","Tipo de produto errado para obter opções configuráveis."
"Wrong quote item instance in options group","Instância incorreta do item cotação nas opções de grupo"
"Wrong quote item instance in options group.","Instância do item da quote errada no grupo de opções"
"Wrong quote item option instance in options group","Instância incorreta do item opção de cotação nas opções de grupo"
"Wrong quote item option instance in options group.","Instância do tipo do item da quote errada no grupo de opções"
"WYSIWYG Editor","Editor WYSIWYG"
"x","x"
"Year Range","Intervalo Ano"
"Yes","Sim"
"Yes/No","Sim/Não"
"You cannot delete this attribute","Não pode remover este atributo"
"You cannot edit this attribute","Não pode editar este atributo"
"You cannot email this product to a friend.","Não pode enviar este produto a um amigo."
"You cannot remove system attribute from this set.","Não pode remover atributos de sistema deste grupo."
"You cannot send more than %d emails at a time.","Não pode enviar mais que %d em simultâneo."
"You cannot update this attribute","Não pode atualizar este atributo"
"You have exceeded limit of %d sends in an hour.","Excedeu o limite de %d envios por hora."
"You have no items to compare.","Não existem itens para comparar"
"You have to specify at least one recipient.","Tem de especificar pelo menos um destinatário."
"You may also be interested in the following product(s)","Também pode estar interessado nos seguintes produtos"
"Zoom In","Aumentar"
"Zoom Out","Diminuir"
"[GLOBAL]","[GLOBAL]"
