"%s","%s"
"%s already exist","%s já existe"
"%s already exist.","%s já existe"
"%s already exists","%s já existe"
"%s already exists.","%s já existe"
"Wrong old style column type definition: {$definition}.","Tipo de definição antigo de coluna: {$definition}."
"Yes","Sim"
"You have no items to compare.","Não existem itens para comparar"
"You will have to log in after you save your custom admin path.","Terá que iniciar sessão depois de guardar a alterar o caminho personalizado de admin"
"Your design change for the specified store intersects with another one, please specify another date range.","A sua alteração de desenho interfere com uma já definida, por favor especifique uma data diferente"
"Your order can not be completed at this time as there is no payment methods available for it.","A sua encomenda não pode ser completada neste momento, pois não existem métodos de pagamento disponíveis."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","A sua encomenda não pode ser finalizada porque não existem métodos de envio disponíveis. Por favor faça as alterações necessários no seu endereço de envio"
"Your order cannot be completed at this time as there is no payment methods available for it.","Neste momento a sua encomenda não pode ser efetuada porque não existem métodos de pagamento disponíveis."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Neste momento a sua encomenda não pode ser realizada porque, não existe nenhuma forma de envio disponível para esse local. Por favor efetue as alterações necessárias na Morada de Entrega."
"Your session has been expired, you will be relogged in now.","A sua sessão expirou, será agora reiniciada."
