"-OR-","-OU-"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","O número por omissão de sub-autorizações da sua conta paypal é 1. Para permitir múltiplas autorizações por favor contacte a Paypal para pedir um aumento."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style="color:red">https</strong> is highly encouraged.","A imagem do topo esquerdo da página de finalização de encomenda. Dimensões máximas de 750x90-pixel. A utilização de <strong style="color:red">https</strong> é altamente recomendada."
"The maximum number of child authorizations is reached.","O número máximo de sub-autorizações foi alcançado."
"The merchant account is not yet verified.","A conta do comerciante ainda não está verificada."
"The payment curency does not match any of the merchant's balances currency.","A moeda de pagamento não coincide com nenhuma do comerciante."
"The payment eCheck is not yet cleared.","O pagamento eCheck ainda não está apurado."
"The payment is authorized but not settled.","Pagamento autorizado mas não estabelecido."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque foi feito para um email que ainda não foi registado ou confirmado."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente enquanto está a ser analisado pelo Paypal pelo risco."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi feito através de cartão de crédito. Para receber os fundos, o comerciante tem que atualizar a sua conta para Bussiness ou Premier"
"There has been an error processing your payment. Please try later or contact us for help.","Ocorreu um erro ao processar o seu pagamento. Por favor tente mais tarde ou entre em contacto connosco"
"There was an error connecting to the Paypal server: %s","Ocorreu um erro ao conectar ao servidor Paypal: %s"
"There was an error during communication with Paypal: %s - %s","Ocorreu um erro durante a comunicação com o Paypal: %s - %s"
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar a sua encomenda. Por favor entre em contacto connosco ou tente novamente."
"Time of Day","Hora do Dia"
"Title","Título"
"Transaction ID","ID Transação"
"Transaction Information","Informação Transação"
"Transaction Type","Tipo de Transação"
"Transfer Cart Line Items","Transferir Linhas de Itens do Carrinho de Compras"
"Transfer Shipping Options","Opções de Transferência de Envios"
"Triggered Fraud Filters","Acionados os Filtros de Fraude"
"Type","Tipo"
"Unable to calculate cart line item totals.","Não foi possível calcular o totais de linha do carrinho"
"Unable to cancel Express Checkout.","Não foi possível cancelar Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Não foi possível alterar o estado. O estado atual não corresponde a um estado real."
"Unable to communicate with the PayPal gateway.","Não foi possível comunicar com os serviços Paypal."
"Unable to initialize Express Checkout review.","Não foi possível inicializar revisão Express Checkout."
"Unable to initialize Express Checkout.","Não foi possível inicializar o Finalização de Encomenda Expresso."
"Unable to place the order.","Não foi possível colocar a encomenda"
"Unable to process Express Checkout approval.","Não foi possível processar aprovação Express Checkout."
"Unable to start Express Checkout.","Não foi possível iniciar a finalização de encomenda Express."
"Unable to update shipping method.","Não foi possível atualizar o método de envio."
"Unknown PayPal API error: %s","Erro de API Paypal desconhecido: %s"
"Unknown reason. Please contact PayPal customer service.","Motivo desconhecido. Por favor contacte o serviço de apoio ao cliente Paypal."
"Update Shipping Method","Atualizar Método de Envio"
"Use colon to specify port. For example: "test.example.com:5224".","Utilize dois pontos para especificar porto. Exemplo: test.exemplo.com:5224"
"Use Proxy","Usar Proxy"
"User","Utilizador"
"User-initiated Currency Conversion","O Utilizador iniciou a conversão de moeda."
"Uses store frontend name by default.","Utiliza o nome da loja por omissão"
"Vendor","Vendedor"
"View","Ver"
"View Demo","Ver Demonstração"
"View PayPal solutions.","Ver Soluções Paypal"
"View Transaction","Ver Transação"
"View Transaction Details","Ver Detalhes Transação"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transation"
"Virtual Terminal Payment","Terminal Virtual Pagamento"
"Visa","Visa"
"Void","Vazio"
"We prefer PayPal (150 X 40)","Nós preferimos Paypal (150 X 40)"
"We prefer PayPal (150 X 60)","Nós preferimos Paypal (150 X 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Plus Settings","Definições Website Payments Plus"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Definições Website Payments Pro (Payflow Edition)"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro e Express Checkout (API Signature)"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))","Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))"
"Website Payments Pro Hosted Solution Settings","Definições Website Payments Pro Hosted Solution"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (includes Express Checkout)"
"Website Payments Pro Settings","Definições Website Payments Pro"
"Website Payments Standard","Website Payments Standard"
"Website Payments Standard Payment","Pagamento Website Payments Standard"
"Website Payments Standard Settings","Definições Website Payments Standart"
"What is PayPal?","O que é o Paypal?"
"What is this?","O que é isto?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Se se deve criar um acordo de faturação se não estiver nenhum disponível."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como opção apenas para clientes que tenham pelo menos um acordo de faturação ativo."
"WorldLink Withdrawal","Revogação WorldLink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Deseja assinar um acordo de faturação para simplificar processamentos futuros Paypal?"
"Wrong PayPal Express Checkout Token specified.","Token especificado para PayPal Express Checkout errado."
"Yes","Sim"
"Yes. Matched Address and five-didgit ZIP","Sim. Correspondência de Endereço de cinco dígitos ZIP"
"You will be redirected to Paypal in a few seconds.","Será redirecionado para o site do Paypal dentro de poucos segundos"
"You will be redirected to the PayPal website in a few seconds.","Será redirecionado para o site do Paypal dentro de poucos segundos"
"You will be redirected to the PayPal website when you place an order.","Será redirecionado para o site Paypal assim que finalizar a sua encomenda."
"You will be redirected to the PayPal website.","Será redirecionado para o site Paypal."
"You will be required to enter your payment details after you place an order.","Será necessário inserir os detalhes do seu pagamento depois de colocada a sua encomenda."
"Your billing address will be ignored and you will be redirected to PayPal UK website","O seu endereço de faturação será ignorado e será redirecionado para o site da Paypal UK"
