" and ","e"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"ID Path","ID Caminho"
"If this message persists, please contact the store owner.","Se esta mensagem voltar a aparecer, por favor contacte o proprietário da loja."
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Se a sua instância do Magento é utilizada para múltiplos sites, necessita de configurar uma conta Payflow Link para cada site em separado."
"Ignore","Ignorar"
"Image cache was cleared successfully","O Cache da imagem foi corretamente limpo"
"Images","Imagens"
"Images (.gif, .jpg, .png)","Imagens (.gif, .jpg, .png)"
"Images Cache","Cache de Imagens"
"images/logo.gif","images/logo.gif"
"Import","Importar"
"Import / Export FAQ (Frequently Asked Questions)","Importação / Exportação - Perguntas Frequentes"
"Import and Export","Importar e Exportar"
"Import and Export Tax Rates","Importar e exportar Taxas de IVA"
"Import FAQ","Perguntas Frequentes Importação"
"Import Service","Importar Serviço"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importar/Exportar (Especialista)"
"Import/Export Profile","Importar/exportar Perfil"
"Important: ","Importante:"
"Imported <strong>%s</strong> records","<strong>%s</strong> registos importados"
"In","Em"
"In Database:","Na Base de Dados:"
"In File:","No Ficheiro:"
"In Stock","Disponível"
"Inactive","Inativo"
"Inactive Tabs","Separadores Inativos"
"Incl. Tax","Incl. Imp."
"Include","Incluir"
"Incoming Message","Mensagem a chegar"
"Individual Item","Item individual"
"Insert Variable...","Inserir Variável..."
"Install","Instalar"
"Install Package File","Instalar Ficheiro do Pacote"
"Installed As","Instalado como"
"Installed Extension Info","Info da Extensão Instalada"
"Installed Version","Versão Instalada"
"Installing $pkg, please wait...","A Instalar $pkg, por favor aguarde...."
"Installing selected packages, please wait...","A instalar pacotes selecionados, por favor aguarde..."
"Instant Payment Notification (IPN)","Notificação Instantânea de Pagamento (IPN)"
"Interactive","Interativo"
"Interface Locale: %s","Língua da Interface: %s"
"Invalid directory: %s","Diretório inválido: %s"
"Invalid email address "%s".","Email inválido "%s"."
"Invalid file: %s","Ficheiro inválido: %s"
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor atualize a página."
"Invalid Import Service Specified","Serviço de importação especificado inválido"
"Invalid input data for %s => %s rate","Valores inválidos para %s => %s"
"Invalid input:","Dados Inválidos:"
"Invalid parent block for this block","Bloco superior inválido para este bloco"
"Invalid parent block for this block.","Bloco superior inválido para este bloco."
"Invalid parrent block for this block","Bloco parente inválido para este bloco"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Informação POST inválida. (por favor verifique as opções de post_max_size e upload_max_filesize no seu ficheiro php.ini)"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Dados submetidos inválido (POST) (por favor verifique as varáveis post_max_size e upload_max_filesize no seu ficheiro php.ini)"
"Invalid Secret Key. Please refresh the page.","Chave secreta inválida. Por favor atualize a página"
"Invalid section value","Valor de seção inválido"
"Invalid sender name "%s". Please use only visible characters and spaces.","Nome do remetente inválido "%s". Por favor utiliza apenas caracteres visíveis e espaços."
"Invalid store value","Valor Loja inválido"
"Invalid timezone","Zona Horária inválida"
"Invalid URL","Url inválida"
"Invalid Username or Password.","Nome de Utilizador ou palavra-passe inválidos"
"Invalid website value","Valor Site inválido"
"Invalidated","invalidado"
"Inventory Stock Status","Estado do Inventário em Stock"
"Invoice #%s comment added","Comentário à facfura #%s adicionado"
"Invoice #%s created","Fatura #%s criada"
"Invoice and shipment was successfully created.","Fatura e envio criados com sucesso"
"Invoice cancel error.","Erro ao cancelar fatura."
"Invoice canceling error.","Erro ao cancelar fatura."
"Invoice capture error","Erro ao cativar fatura"
"Invoice capturing error.","Erro ao cobrar a fatura."
"Invoice History","Histórico Faturação"
"Invoice Totals","Totais de Faturação"
"Invoice void error","Erro ao anular fatura"
"Invoice voiding error.","Erro ao anular fatura."
"Invoice was successfully canceled.","A facura foi cancelada com sucesso."
"Invoice was successfully captured","A fatura foi cativada com sucesso"
"Invoice was successfully created.","A fatura foi criada com sucesso."
"Invoice was successfully voided","A fatura foi cancelada com sucesso"
"Invoices","Faturas"
"IP Address","Endereço IP"
"IPN (Instant Payment Notification) Only","Apenas IPN (Notificação Imediata Pagamento)"
"Is Closed","Está Fechado"
"Issue Number","Número Edição"
"Issuer: %s","Autor: %s"
"Items","Itens"
"items selected","itens selecionados"
"Items to merge","Itens a unir"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Kb","Kb"
"Last 24 hours","Últimas 24 horas"
"Last 5 Orders","Últimas 5 encomendas"
"Last 5 Search Terms","Últimos 5 termos de pesquisa"
"Last 7 days","Últimos 7 dias"
"Last Credit Memo Created Date","Data de criação da última Nota de Crédito"
"Last Invoice Created Date","Data de criação da última Fatura"
"Last Logged In (%s):","Última sessão Em (%s):"
"Last Logged In:","Último início de sessão em:"
"Last Month","Último m&ecirc;s"
"Last Name","Apelido"
"Last Name is required field.","Apelido é obrigatório."
"Last Name:","Apelido"
"Last updated: %s. To refresh last day's <a href="%s">statistics</a>, click <a href="%s">here</a>.","Última atualização: %s. Para atualizar as <a href="%s">estatísticas</a> o último dia <a href="%s">clique aqui</a>"
"Lastname","Apelido"
"Latest Message:","Última Mensagem:"
"Layered Navigation indexing queue cancelled","Lista de espera para Navegação por Atributos cancelada"
"Layered Navigation indexing queued","Indexação da Navegação por Atributos em Lista de Espera"
"Layered Navigation Indices","Índices de Navegação por atributos"
"Layered Navigation Indices was refreshed successfully","Os Índices da Navegação por atributos foi atualiza com sucesso"
"Layered Navigation Indices were refreshed successfully","Os Índices da Navegação por atributos foi atualiza com sucesso"
"Layered Navigation Indices were refreshed.","Índices da Navegação por Atributos atualizada."
"Layered Navigation process queued to be killed","Processo de Navegação por atributos em lista de esperar para ser terminado"
"Leave empty to use tax identifier","Deixe em branco para utilizar identificador de imposto"
"Level","Nível"
"License","Licença"
"License URI","URI Licença"
"License:","Licença:"
"Lifetime Sales","Total acumulado de Vendas"
"Lifetime statistics have been updated.","Estatísticas acumulados atualizadas."
"Links","Ligações"
"Links with associated products will retain only after saving current product.","Links de produtos associados só serão retidos após a gravar o produto atual."
"List (default) / Grid","Lista (por omissão) / Grelha"
"List only","Apenas listar"
"Load default template","Carregar template por omissão"
"Load local Package","Carregar pacote local"
"Load Template","Carregar Template"
"Loading Preview...","A carregar pré-visualização"
"Loading...","A Carregar..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Região"
"Log In","Iniciar Sessão"
"Log in to Admin Panel","Iniciar sessão administrativa"
"Log into Magento Admin Page","Iniciar sessão para a administração do Magento"
"Log Out","Terminar sessão"
"Logged in as %s","Iniciou sessão como %s"
"Login","Iniciar Sessão"
"Low Stock","Disponibilidade baixa"
"Magento Admin","Admin do Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Painel administrativo"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gestor Magento Connect"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; é uma marca registada de Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento é uma marca registada de Magento Inc. Copyright &copy; %s Magento Inc."
"Magento Logo","Logótipo do Magento"
"Magento ver. %s","Magento %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; é uma marca registada de Irubin Consulting Inc. DBA Varien. &copy; <br/>Copyright 2007"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento é uma marca registada de Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Separados Principais"
"Maintainers","Manutenção"
"MAJOR","IMPORTANTE"
"Make Inactive","Tornar Inativo"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Por favor certifique-se que a codificação do ficheiro é consistente e num dos formatos suportados (UTF-( ou ANSI)"
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Certifique-se que configura as opções do desenho para o formulário Payflow Link na sua conta Payflow link,"
"Manage Attribute Sets","Gerir Grupos de Atributos"
"Manage Attributes","Gerir Atributos"
"Manage Categories","Gerir Categorias"
"Manage Content","Gerir Conteúdo"
"Manage Currency Rates","Gerir Câmbios"
"Manage Customers","Gerir Clientes"
"Manage Installed Extensions","Gerir Extensões Instaladas"
"Manage osCommerce Orders","Gerir Encomendas osCommerce"
"Manage osCommerce Profiles","Gerir Perfis osCommerce"
"Manage Ratings","Gerir Classificações"
"Manage Stores","Gerir Lojas"
"Manage Tax Rules","Gerir Regras de Imposto"
"Manage Tax Zones and Rates","Gerir Regras e Zonas de Imposto"
"Manual","Manual"
"Mapping Configuration","Configuração mapeamento"
"Matched expression","Expressão coincide"
"Max","Máx."
"Maximum","Máximo"
"Mb","Mb"
"md5sum","md5sum"
"Media (.avi, .flv, .swf)","Multimédia (.avi, .flv, .swf)"
"Media storages synchronization has completed!","Sincronização de unidades de armazenamento concluída"
"Merge Now","Unir Agora"
"Messages Inbox","Caixa de Entrada"
"Min","Min."
"Minimum","Mínimo"
"MINOR","MENOR"
"Module version conflict!","Conflito de Versões no Módulo!"
"Month","M&ecirc;s"
"More Tabs","Mais Separadores"
"Most Viewed","Mais Vistos"
"Most Viewed Products","Produtos Mais Vistos"
"MS Excel XML","MS Excel XML"
"Multiple Select","Selecão Múltipla"
"My Account","A Minha Conta"
"N/A","N/D"
"Name","Nome"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"Name:","Nome:"
"New ","Novo"
"New Accounts","Novas Contas"
"New admin password","Nova palavra-passe admin"
"New Api Key","Nova chave api"
"New Attribute","Novo Atributo"
"New Block","Novo Bloco"
"New Category","Nova Categoria"
"New Class","Nova Classe"
"New Condition","Nova Condição"
"New Custom Variable","Nova Variável Personalizada"
"New Customer","Novo cliente"
"New Customers","Novos Clientes"
"New Design Change","Nova Alteração ao Desenho"
"New Email Template","Novo Template de Newsletter"
"New Extension","Nova Extensão"
"New Group","Novo grupo"
"New Invoice","Nova fatura"
"New Item Type","Novo tipo de Item"
"New Memo","Nova Nota de Crédito"
"New Memo for #%s","Nova Nota de Crédito #%s"
"New Page","Nova página"
"New Password","Nova palavra-passe"
"New Poll","Nova sondagem"
"New Profile","Novo Perfil"
"New Rate","Nova Taxa"
"New Rating","Nova Classificação"
"New Review","Nova análise"
"New Role","Novo Nível de Acesso"
"New Rule","Nova regra"
"New Search","Nova pesquisa "
"New Set","Novo Grupo"
"New Shipment","Novo Envio"
"New Sitemap","Novo Mapa do Site"
"New Store View","Nova Vista Loja"
"New System Template","Novo Template de Sistema"
"New Tag","Nova etiqueta"
"New Template","Novo Template"
"New User","Novo utilizador"
"New Variable","Nova Variável"
"New Website","Novo site"
"Newsletter","Newsletter"
"Newsletter Problems","Problemas de Newsletter"
"Newsletter Queue","Lista de Newsletters"
"Newsletter Subscribers","Subscritores da Newsletter"
"Newsletter Templates","Modelos da Newsletter"
"Next month (hold for menu)","Mês seguinte (aguarde para menu)"
"Next page","Página seguinte"
"Next year (hold for menu)","Ano seguinte (aguarde para menu)"
"No","Não"
"No (price without tax)","Não (preço sem imposto)"
"No change","Sem alterações"
"No customer id defined.","Nenhum ID cliente definido"
"No Data Found","Não foram encontrados dados"
"No Extensions Found","Não Foram Encontradas Extensões"
"No information available.","Sem informação disponível."
"No profile","Sem perfil"
"No profile loaded...","Sem perfil carregado..."
"No records found for this period.","Não foram encontrados registos para o período"
"No records found.","Não foram encontrados resultados."
"No report code specified.","Nenhum código de relatório especificado."
"No search keywords.","Sem termos de pesquisa"
"No search modules registered","Não existem módulos de pesquisa registados"
"No search modules were registered","Nenhum módulo de pesquisa foi registado."
"No Templates Found","Não Foram Encontrados Templates"
"No wishlist item id defined.","Nenhum id de lista de presente definido"
"None","Nenhum"
"Note:","Nota:"
"Notes","Notas"
"Notes:","Notas:"
"NOTICE","INFORMAÇÃO"
"Notifications","Notificações"
"Number of Orders","Número de Encomendas"
"Number of records:","Número de resultados:"
"Number of Use","Número de Utilizações"
"Number of Uses","Número de utilizações"
"of %s pages","de %s páginas"
"Old rate:","Taxa antiga:"
"On my website","No meu site"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Depois de iniciar sessão na sua conta Payflow Link, navegue até  ao menu Service Settings - Hosted Checkout Pages - Set Up e defina as opções listadas abaixo"
"One of options row has error","Uma das opções de linha tem um erro"
"One or more media files failed to be synchronized during the media storages syncronization process. Refer to the log file for details.","Um ou mais ficheiros de média falhou na sincronização de unidades de armazenamento. Por favor veja o ficheiro de registos para mais informação"
"One or more of the Cache Types are invalidated:","Ou um mais Tipos de Cache estão invalidades:"
"Online Customers","Clientes online"
"Only attributes with scope "Global", input type "Dropdown" and Use To Create Configurable Product "Yes" are available.","Apenas atributos do âmbito "Global", tipo de inserção "Menu de Seleção" e Utilizar para Criar Produto Configurável "Sim" estão disponíveis"
"Only custom theme can be deleted","Apenas temas personalizados podem ser removidos"
"Only default theme can be reset","Apenas o tema por omissão pode ser reposto"
"Only mapped fields","Apenas campos mapeados"
"Optional","Opcional"
"Options","Opções"
"Options menu items","Itens nas opções menu"
"or","OU"
"Order","Encomenda"
"Order #%s","Encomenda #%s"
"Order #%s (%s)","Encomenda $%s (%s)"
"Order cannot be placed.","Não foi possível criar a encomenda."
"Order confirmation email not sent","Email de confirmação da encomenda não enviado"
"Order confirmation email sent","Email de confirmação de encomenda enviado"
"Order Created Date","Data de Criação da Encomenda"
"Order ID","ID Encomenda"
"Order not longer exist","A encomenda já não existe"
"Order not longer exist.","A encomenda já não existe."
"Order Totals","Total encomendas"
"Order Updated Date","Data de Alteração da Encomenda"
"Order Updated Date report is real-time, does not need statistics refreshing.","A data de atualização da encomenda é em tempo real, não necessita de atualizar as estatísticas."
"Orders","Encomendas"
"Original Magento attribute names in first row:","Nome originais dos atributos Magento na primeira linha"
"Out of stock","Indisponível"
"Package","Pacote"
"Package %s data was successfully loaded","Os dados do pacote %s foram carregados com sucesso"
"Package Extensions","Extensões Pacote"
"Package File Name","Nome Ficheiro Pacote"
"Package Info","Informação Pacote"
"Package Information","Informação do Pacote"
"Packages","Pacotes"
"Page","Página"
"Pages","Páginas"
"Parent Product Thumbnail","Miniatura do produto dependente"
"Parent Transaction ID","ID Transação Mãe"
"Passive mode","Modo passivo"
"Password","Senha"
"Password Confirmation","Confirmação da Palavra-passe"
"Password confirmation must be same as password.","Senha de confirmação tem que ser igual à senha."
"Password must be at least of %d characters.","A senha tem que ter pelo menos %d caracteres."
"Password must include both numeric and alphabetic characters.","A palavra-passe deve incluir letras e caracteres."
"Password:","Palavra-passe:"
"Path","Caminho"
"Path:","Caminho:"
"Payment Data Transfer (PDT)","Transferência de dados de pagamento (PDT)"
"Payment method instance is not available.","Método de pagamento n"
"Payment method is not available.","O modo de pagamento não está disponível."
"Payment method must be specified","O método de pagamento tem que ser especificado"
"Payment method must be specified.","Método de pagamento tem que ser especificado."
"PayPal Email","Email PayPal"
"PDT (Payment Data Transfer) Only","Apenas PDT (Payment Data Transger)"
"PEAR config","Configuração PEAR"
"PEAR Configuration was successfully saved","Configuração PEAR corretamente guardada"
"PEAR Console","Consola PEAR"
"Pending installation...","Instalação pendente"
"Pending Reviews","Análises Pendentes"
"Pending Tags","Etiquetas Pendentes"
"Per Item","Por item"
"Per Order","Por Encomenda"
"per page","por página"
"Percent","Percentagem"
"Performed At","Realizado Em"
"Period","Período"
"Permanent (301)","Permanente (301)"
"Permissions","Permissões"
"Personal Information","Informação Pessoal"
"Phone:","Telefone:"
"PHP Version","Versão PHP"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de site. Todos os dados que não foram guardados serão perdidos."
"Please confirm site switching. All data that hasn't been saved will be lost.","Confirme por favor a troca de site. Todas as informações que não tiverem sido gravadas serão perdidas."
"Please continue with placing order.","Por favor, continue para registar encomenda."
"Please enter 6 or more characters.","Por favor insira 6 ou mais caracteres"
"Please enter a number greater than 0 in this field.","Por favor insira neste campo um número maior que 0."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um valor válido. Por exemplo ?100.00."
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido"
"Please enter a valid date.","Por favor insira uma data válida"
"Please enter a valid email address. For example johndoe@domain.com.","Por favor insira um email válido. Por exemplo eu@ exemplo.com"
"Please enter a valid email.","Por favor, insira um email válido."
"Please enter a valid number in this field.","Por favor insira neste campo um email válido"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor insira o número de segurança social. Por exemplo: 123-45-6789"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor insira uma URL válida. Ex: http://www. exemplo.com ou www. exemplo.pt"
"Please enter a valid URL. http:// is required","Por favor insira uma URL válida. http:// é obrigatório"
"Please enter a valid value from list","Por favor insira um valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor insira um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor insira um código postal válido"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira uma código postal válido. Ex: 4750 ou 4750-144"
"Please enter another credit card number to complete your purchase.","Por favor insira outro cartão de crédito para finalizar a sua compra."
"Please enter valid password.","Por favor insira uma palavra-passe válida"
"Please fill in 'email' field.","Por favor preencha o campo 'email'."
"Please make sure that all global admin search modules are installed and activated.","Por favor confirme que todos os módulos de pesquisa administrativa estão instalados e ativos"
"Please make sure that your changes were saved before running the profile.","Por favor assegure-se que as suas alterações foram guardadas antes de correr o perfil."
"Please make sure your passwords match.","Por favor confirme que as duas palavras-passe coincidem"
"Please Select","Por Favor Selecione"
"Please select a custmer","Por favor selecione um cliente"
"Please select a customer.","Por favor, selecione um cliente."
"Please select a store","Por favor selecione uma loja"
"Please select a store.","Por favor, selecione uma loja."
"Please select an option.","Por favor selecione uma opção"
"Please select catalog searches","Por favor selecione as pesquisas de catálogo"
"Please select catalog searches.","Por favor selecione as pesquisa do catálogo"
"Please select customer(s)","Por favor selecione os clientes"
"Please select customer(s).","Por favor, selecione um ou mais clientes."
"Please select message(s).","Por favor selecione mensagem(ns)"
"Please select one of the above options.","Por favor selecione uma das opções acima"
"Please select one of the options.","Por favor selecione uma das opções"
"Please select review(s)","Por favor selecione análise(s)"
"Please select review(s).","Por favor, selecione uma ou mais revisões."
"Please select State/Province.","Por favor selecione o Estado/Província"
"Please select tag(s)","Por favor selecione etiqueta(s)"
"Please select tag(s).","Por favor, selecione uma ou mais tags."
"Please specify admin custom URL","Por favor especifique a URL personalizada da administração"
"Please specify at least start or end date.","Por favor especifique pelo menos a data de início ou fim"
"Please specify the admin custom URL.","Por favor especifique a url personalizada para a administração"
"Please try to logout and sign in again.","Tente terminar a sessão e voltar a entrar."
"Please use in this field only "a-z,0-9,_".","Por favor utilize apenas "a-z,0-9,_""
"Please use letters only (a-z) in this field.","Por favor utilize apenas letras neste campo (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor utilize apenas números neste campo. Por favor evite espaços ou outros caracteres como pontos e vírgulas"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor utilize apenas letras (a-z) ou números ou espaços e # apenas neste campo"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use o seguinte formato de data: dd/mm/aaaa. Por exemplo 22/09/1984 para 22 de Setembro de 1984"
"Please wait while the indexes are being refreshed.","Por favor aguarde enquanto os índices estão a ser atualizados."
"Please wait, loading...","Por favor aguarde, a carregar..."
"Please wait...","Por favor aguarde..."
"Please, add a few answers to this poll first","Por favor adicione algumas respostas a esta sondagem primeiro"
"Please, add some answers to this poll first.","Adicione por favor primeiro as respostas a esta sondagem."
"Please, select "Visible in Stores" for this poll first.","Selecione, por favor, primeiro "Visível nas Lojas" para esta sondagem."
"Please, select a store view","Por favor, selecione uma Vista de Loja"
"Please, select visible in stores to this poll first","Por favor selecione as lojas para esta sondagem primeiro"
"Poll Manager","Gestão de Sondagens"
"Poll was successfully deleted","A sondagem foi corretamente removida"
"Poll was successfully saved","A sondagem foi salva"
"Polls","Sondagens"
"Popular","Popular"
"Position of Watermark for %s","Posição da marca de água para %s"
"Preferred state","Estado preferido"
"Pregenerated product images files.","Ficheiros de imagens dos produtos pré-gerados."
"Preparing to change $pkg, please wait...","A preparar a alteração a $pkg, por favor aguarde..."
"Preset Theme","Tornar Tema como omissão"
"Prev. month (hold for menu)","Mês ant. (aguarde para menu)"
"Prev. year (hold for menu)","Ano ant. (aguarde para menu)"
"Preview","Pré-visualizar"
"Preview Template","Pré-visualizar Template"
"Previous page","Página anterior"
"Price","Preço"
"Price alert subscription was saved successfully","Subscrição de alertas de preços guardada corretamente"
"Price alert subscription was saved.","O preço do alerta de subscrição foi guardado."
"Price:","Preço:"
"Primary Billing Address","Endereço de faturação primário"
"Processed <strong>%s%% %s/%d</strong> items","Processados <strong>%s%% %s/%d</strong> itens"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> registos processados"
"Product","Produto"
"Product is not loaded.","O produto não está carregado"
"Product Name3 ","Nome Produto3"
"Product Name3 1","Nome Produto3 1"
"Product Name3 2","Nome Produto3 2"
"Product Reviews","Análises ao produto"
"Product Tax Classes","Classes de Imposto de Produtos"
"Product Thumbnail Itself","Minuatura do Produto"
"Product:","Produto:"
"Products","Produtos"
"Products Bestsellers Report","Relatório de produtos mais vendidos"
"Products in Carts","Produtos em carrinhos"
"Products Ordered","Produtos encomendados"
"Profile Action","Ação Perfil"
"Profile Actions XML","Ações de Perfil XML"
"Profile Direction","Direção de Perfil"
"Profile History","Histórico do Perfil"
"Profile Information","Informação do perfil"
"Profile Name","Nome do Perfil"
"Profile Payments","Perfis de Pagamento"
"Profile Schedule","Perfil agendado"
"Profile was deleted","O perfil foi removido"
"Profile was successfully saved","O perfil foi corretamente guardado"
"Profile Wizard","Assistente do perfil"
"Profiles","Perfis"
"Promo","Promoção"
"Promotions","Promoções"
"Provided Files","Ficheiros cedidos"
"Purchased Item","Item Adquirido"
"Qty","Qt"
"Qty:","Qtd:"
"Quantity","Quantidade"
"Queue Refresh","Atualizar Lista de espera"
"Queued... Cancel","Em lista de espera... Cancelar"
"Radio Buttons","Botões de seleção"
"Rates","Taxas"
"Rating was successfully deleted","Classificação removida com sucesso"
"Rating was successfully saved","Classificação corretamente guardada"
"Read details","Ler detalhes"
"Rebuild","Recriar"
"Rebuild Catalog Index","Reconstruir índice do catálogo"
"Rebuild Flat Catalog Category","Reconstruir catálogo fixo de Categorias"
"Rebuild Flat Catalog Product","Reconstruir catálogo fixo de Produtos"
"Recent Orders","Encomendas recentes"
"Recent statistics have been updated.","As estatísticas recentes foram atualizadas."
"Recommended","Recomendado"
"Recurring Profile View","Vista de Perfil Recorrente"
"Recursive Dir","Diretório recursivo"
"Redirect","Redirecionar"
"Reference","Referência"
"Reference ID","ID Referência"
"Refresh","Atualizar"
"Refresh Now*","Atualizar agora*"
"Refresh Statistics","Atualizar Estatísticas"
"Region/State","Região/Estado"
"Regular Price:","Preço Normal:"
"Release","Lançado"
"Release Info","Informação Versão"
"Release Stability","Estabilidade Versão"
"Release Version","Informação Versão"
"Remote Extension Info","Info da Extensão Remota"
"Remote FTP","FTP Remoto"
"Remote URL:","Url Remota:"
"Remove","Remove"
"Reports","Relatórios"
"Request Path","Caminho Pedido"
"Required","Obrigatório"
"Required settings","Definições Obrigatórias"
"Reset","Repor Valores"
"Reset Filter","Limpar Filtro"
"Reset Successful","Reposto com sucesso"
"Reset theme to default","Repor Tema para Omissão"
"Resize","Redimensionar"
"Resource Access","Acesso Recurso"
"Resources","Recursos"
"Results","Resultados"
"Retrieve Password","Recuperar Palavra-passe"
"Return Html Version","Voltar à Versão HTML"
"Return URL: ","URL de retorn:"
"Revenue","Rendimento"
"Reviews","Análises"
"Reviews and Ratings","Análises e Classificações"
"Rewrite Rules","Regras de Rescritas"
"Role","Papel"
"Role ID","ID de Acesso"
"Role Info","Info Acesso"
"Role Information","Informação de Acesso"
"Role Name","Nome Acesso"
"Role Resources","Lista de acessos"
"Role successfully deleted.","Acesso corretamente removido"
"Role successfully saved.","Acesso corretamente guardados"
"Role Users","Utilizadores"
"Roles","Níveis"
"Roles Resources","Listas de Acessos"
"Rotate CCW","Rodar SCR"
"Rotate CW","Rodar SR"
"Run","Correr"
"Run in popup","Correr em popup"
"Run Profile","Correr Perfil"
"Run Profile In Popup","Correr Perfil em Popup"
"Run Profile Inside This Window","Correr Perfil Dentro Desta Janela"
"Running... Kill","A correr... Terminar"
"Running:","A correr:"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Samples","Amostras"
"Save","Guardar"
"Save & Generate","Guardar e Gerar"
"Save Account","Guardar Conta"
"Save And Continue Edit","Guardar e Continuar Edição"
"Save and Continue Editing","Guardar e continuar edição"
"Save As","Guardar Como"
"Save As...","Guardar como..."
"Save cache settings","Guardar definições do cache"
"Save Config","Guardar Configuração"
"Save Currency Rates","Guardar Câmbios"
"Save data and Create Package","Guardar dados e Criar Pacote"
"Save package with custom package file name","Guardar pacote com nome personalizado"
"Save PEAR Config","Guardar Configuração PEAR"
"Save Profile","Guardar perfil"
"Save Role","Guardar Acesso"
"Save Template","Guardar Template"
"Save Theme","Guardar Tema"
"Save User","Guardar Utilizador"
"Schedule Merge","Unir Horários"
"Screens:","Ecrãs:"
"Search","Pesquisa"
"Search Index","Índice de pesquisa"
"Search Index rebuild error. Please try again later","Erro ao reconstruir o índice de pesquisa. Por favor tente novamente mais tarde."
"Search Index was rebuilt successfully","A reconstrução do índice de pesquisa foi terminada com sucesso"
"Search Term","Termo de Pesquisa"
"Search Terms","Termos de pesquisa "
"Select","Selecione"
"Select All","Selecionar tudo"
"Select Category","Selecione uma Categoria"
"Select Date","Selecionar Data"
"Select Range","Selecione período"
"Select Template","Selecione Template"
"Select Visible","Selecionar visíveis"
"Select website from map","Selecionar Site a partir do Mapa"
"Select website to map","Selecione o website a mapear"
"Selected allow currency "%s" is not available in installed currencies","A moeda selecionada "%s" não está disponível nas moedas instaladas"
"Selected allowed currency "%s" is not available in installed currencies.","A moeda selecionada "%s" não está disponível nas moedas instaldas."
"Selected base currency is not available in installed currencies","Moeda base selecionada não está disponível nas moedas instaladas"
"Selected base currency is not available in installed currencies.","A moeda base "%s" não está disponível nas moedas instaldas."
"Selected default display currency is not available in allowed currencies","Moeda por omissão selecionada não está disponível na lista de moedas permitidas"
"Selected default display currency is not available in allowed currencies.","A moeda por omissão "%s" não é permitida nas moedas instaldas."
"Selected default display currency is not available in installed currencies","Moeda por omissão selecionada não está disponível nas moedas instaladas"
"Selected default display currency is not available in installed currencies.","A moeda selecionada "%s" não está disponível nas moedas instaldas."
"Self-assigned roles cannot be deleted.","Níveis de acesso auto-atribuídos não podem ser removidos."
"Sender","Remetente"
"Separate email","Email em separado"
"Shipment #%s comment added","Comentário ao Envio #%s adicionado"
"Shipment #%s created","Envio #%s criado"
"Shipment Comments","Comentários Envio"
"Shipment History","Histórico Envio"
"Shipment was successfully created.","Envio corretamente criado"
"Shipment was successfully sent.","Envio corretamente despachado"
"Shipments","Envios"
"Shipping","Envio"
"Shipping Address","Endereço de Envio"
