"Enabled","Açık"
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","Payer Address ID"
"Payer Address Status","Payer Address Status"
"Payer Email","Payer Email"
"Payer Email: %s","Payer Email: %s"
"Payer ID","Payer ID"
"Payer Status","Payer Status"
"Payer is not identified.","Payer is not identified."
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro Settings"
"Payment Applicable From","Payment Applicable From"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Payments by PayPal (150 X 40)","Payments by PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Payments by PayPal (150 X 60)"
"Paypal Billing Agreement Settings","Paypal Billing Agreement Settings"
"Place Order","Place Order"
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API), either sent or received","Preapproved Payment (BillUser API), either sent or received"
"Preapproved Payment ID","Preapproved Payment ID"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution."
"Reauthorization","Reauthorization"
"Reference Information","Reference Information"
"Refund issued by merchant.","Refund issued by merchant."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","Report Date"
"Reports","Reports"
"Require CVV Entry","Require CVV Entry"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Reward Voucher Redemption","Reward Voucher Redemption"
"SFTP Credentials","SFTP Credentials"
"Sales","Sales"
"Sandbox Credentials","Sandbox Credentials"
"Sandbox Mode","Sandbox Mode"
"Schedule","Schedule"
"Schedule description is too long.","Schedule description is too long."
"Scheduled Fetching","Scheduled Fetching"
"Select a PayPal Solution","Select a PayPal Solution"
"Settlement Consolidation","Settlement Consolidation"
"Settlement Report Settings","Settlement Report Settings"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping","Shipping"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shortcut","Shortcut"
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Shortcut on Product View","Shortcut on Product View"
"Shortcut on Shopping Cart","Shortcut on Shopping Cart"
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Solo","Solo"
"Sort Order","Sort Order"
"Subscriber name is too long.","Subscriber name is too long."
"Subscription ID","Subscription ID"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"Summary Text for Aggregated Cart","Summary Text for Aggregated Cart"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Test Mode"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"The merchant account is not yet verified.","The merchant account is not yet verified."
"The payment curency does not match any of the merchant\'s balances currency.","The payment curency does not match any of the merchant\'s balances currency."
"The payment eCheck is not yet cleared.","The payment eCheck is not yet cleared."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"Time of Day","Time of Day"
"Transaction ID","Transaction ID"
"Transaction Information","Transaction Information"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Transfer Shipping Options"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Unable to cancel Express Checkout.","Unable to cancel Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Unable to change status. Current status is not correspond to real status."
"Unable to communicate with the PayPal gateway.","Unable to communicate with the PayPal gateway."
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to initialize Express Checkout.","Unable to initialize Express Checkout."
"Unable to place the order.","Unable to place the order."
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to update shipping method.","Unable to update shipping method."
"Unknown reason. Please contact PayPal customer service.","Unknown reason. Please contact PayPal customer service."
"Use colon to specify port. For example: ""test.example.com:5224"".","Use colon to specify port. For example: ""test.example.com:5224""."
"User","User"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Uses store frontend name by default.","Uses store frontend name by default."
"Vendor","Vendor"
"View","View"
"View Demo","View Demo"
"View PayPal solutions.","View PayPal solutions."
"View Transaction","View Transaction"
"View Transaction Details","View Transaction Details"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Void"
"We prefer PayPal (150 X 40)","We prefer PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","We prefer PayPal (150 X 60)"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Edition) Settings"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (includes Express Checkout)"
"Website Payments Pro Settings","Website Payments Pro Settings"
"Website Payments Standard Payment","Website Payments Standard Payment"
"Website Payments Standard Settings","Website Payments Standard Settings"
"What is PayPal?","What is PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"WorldLink Withdrawal","WorldLink Withdrawal"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"Yes","Yes"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"You will be redirected to the PayPal website in a few seconds.","You will be redirected to the PayPal website in a few seconds."
"You will be redirected to the PayPal website when you place an order.","Siparişinizi tamamlamak için PayPal sitesine yönlendirileceksiniz."
"You will be redirected to the PayPal website.","You will be redirected to the PayPal website."
"eBay Auction Payment","eBay Auction Payment"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"API Authentication Methods","API Authentication Methods"
"API Certificate","API Certificate"
"Can not send new order email.","Can not send new order email."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available."
"Pay Now","Pay Now"
"PayPal certificate does not exist.","PayPal certificate does not exist."
"PayPal certificate file is empty.","PayPal certificate file is empty."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"Payflow Link (for USA and Canada)","Payflow Link (for USA and Canada)"
"Payflow Link Settings","Payflow Link Settings"
"Payment has been declined. Please try again.","Payment has been declined. Please try again."
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>"
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Quick set-up service lets your customers securely complete transactions.","Quick set-up service lets your customers securely complete transactions."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))","Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Hosted Solution Settings"
"You will be required to enter your payment details after you place an order.","You will be required to enter your payment details after you place an order."
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
